Blob ID,Mean Intensity,Std Deviation,Area,LBP Mean,LBP Std,Imain1,Imain2,Final Inertia,Prediction
58,127,41.89510711,5,1.833333333,1.067187373,108863.4195,1317.620503,82.6212246,Debris
59,149.5,6.5,2,0.5,0.5,166015.0001,21869.49988,7.591165827,Debris
60,84,0,1,0,0,62253,0,inf,Debris
61,123.5,41.5601973,4,1.833333333,1.067187373,491399.6219,30931.00311,15.88696041,Debris
62,131.125,48.11818134,8,2.333333333,1.054092553,320866.8178,0.025946513,12366471.75,Debris
63,87,0,1,0,0,206957,0,inf,Debris
64,83,0,1,0,0,95346,0,inf,Debris
65,131,0,1,0,0,82240,0,inf,Debris
66,86,5,2,0.5,0.5,179430.2835,27139.21647,6.61147619,Debris
67,115,28,2,0.5,0.5,285838.5617,31204.93834,9.160042508,Debris
68,87,0,1,0,0,154097,0,inf,Debris
69,81.75,3.561951712,4,1.5,1.118033989,318240.9995,0.000452487,703314822.3,Debris
70,122,25,2,0.5,0.5,209753.5335,31112.96647,6.741675813,Debris
71,100.25,12.96871235,4,1.5,1.118033989,334085,0,inf,Debris
72,149.5,52.73992795,8,2.583333333,1.037491633,686915.7141,43982.28585,15.6180085,Star
73,144.5714286,45.44653733,7,2.333333333,1.054092553,290941.8812,1.50657651,193114.5741,Star
74,135.5,4.5,2,0.5,0.5,108285.1235,5644.376499,19.18460321,Debris
75,88,0,1,0,0,164705,0,inf,Debris
76,79,0,1,0,0,116818,0,inf,Debris
77,119.25,14.77117125,4,1.5,1.118033989,256360.8471,0.152925068,1676382.102,Debris
78,80,0,1,0,0,200224,0,inf,Debris
79,102.5,1.5,2,0.5,0.5,320786.0019,44767.49811,7.16560039,Debris
80,96.75,6.759252917,4,2,1.732050808,645438.1813,101225.3187,6.376252403,Debris
81,122.25,42.2573958,4,2,1.154700538,257998.8162,7095.808843,36.35932448,Debris
82,85,0,1,0,0,128916,0,inf,Debris
83,140.2857143,45.79991979,7,2.222222222,1.030402055,750087.8114,0.004885795,153524199.5,Debris
1,171.4769231,44.86870568,780,5.061501869,2.934780257,2984483.106,558217.4666,5.346452386,Star
2,118,0,1,0,0,134056,0,inf,Debris
3,157,0,1,0,0,120040,0,inf,Debris
4,139.5,14.84082208,4,1.5,1.118033989,79560.61946,0.380540024,209072.9346,Debris
5,143.6666667,40.92947865,6,2.222222222,1.133115447,43993.18129,0.985379978,44645.90541,Debris
6,156,35.62021898,5,1.833333333,1.067187373,438695.4011,681.6388982,643.589153,Debris
7,166.5,17.5,2,0.5,0.5,186632.1907,574.3093333,324.9680613,Debris
8,167.5,4.5,2,0.5,0.5,23145.271,623.2289956,37.13766716,Debris
